back-itch-reach	背中間癢，手繞去抓卻搆不到	肩關節內收/外旋活動度、胸椎旋轉、闊背與後三角
wash-back-shower	洗澡時搓不到自己的背	肩屈曲與外旋活動度、胸小肌緊、肩胛活動
stiff-neck-morning	睡醒落枕，脖子卡住不能轉	胸鎖乳突肌與上斜方緊繃、頸椎小面關節、睡姿；吹風機熱敷給安全版(溫熱別燙、急性紅腫不熱敷)
squat-wash-butt	蹲下洗澡時洗不到屁股後面	髖屈曲活動度、腳踝背屈不足、深蹲代償
cross-legs-hard	翹腳翹不上去、盤腿盤不起來	髖外旋活動度、梨狀肌與臀部深層、內收肌緊
sit-to-stand-back	久坐站起來腰要卡一下才挺得直	髖屈肌(髂腰肌)緊、骨盆前傾、腰椎僵
look-up-neck	低頭久了要抬頭很卡很緊	頸椎後側緊、上交叉、胸椎僵硬
down-stairs-knee	下樓梯膝蓋卡卡、痠軟	髕骨滑動軌跡、股四頭與臀中肌力量、足弓
squat-heel-lift	蹲不下去、蹲下腳跟會浮起來	腳踝背屈受限、小腿後側(腓腸/比目魚)緊
wrist-push-pain	手撐地或伏地挺身時手腕會痛	腕背屈活動度、前臂肌群緊、手腕負荷
morning-fingers-stiff	早上起來手指卡卡、緊緊的	屈指肌腱與筋膜、久用手機/滑鼠；持續或麻要就醫
neck-turn-oneside	脖子轉一邊比較緊、轉不太過去	頸椎單側旋轉受限、單側肌張力、睡姿與慣用邊
take-off-shirt-shoulder	脫衣服舉手過頭卡肩膀	肩屈曲/外展活動度、旋轉肌袖、夾擠感
grip-weak	握力變差、拿東西容易不穩掉落	前臂與手內在肌、也可能牽涉頸神經；強調異常無力/麻要盡快就醫
